IL_DepartureDate,DepartYear,DepartMonth,Day_of_Week_Departure,TotalDep,LegNumber,IL_DepartureStation,IL_ArrivalStation,InternationalDesc,LiftStatus,FlyThru,IsNTL,DepartureCountry,ArrivalCountry
07-29-25,2025,July,2,194,A0214,LHR,BKI,INT,Default,No,No,Thailand,Malaysia
12-22-25,2025,December,1,174,A0339,KUL,LHR,INT,Default,No,No,Malaysia,Thailand
12-28-25,2025,December,7,141,A0257,LHR,CGK,INT,NoShow,Yes,No,Thailand,Indonesia
09-10-25,2025,September,3,154,A0003,PEN,KUL,DOM,Boarded,Yes,No,Malaysia,Malaysia
08-30-25,2025,August,6,192,A0429,HND,SIN,INT,NoShow,No,No,Japan,Singapore
12-31-25,2025,December,3,213,A0416,KUL,SYD,INT,CheckedIn,Yes,No,Malaysia,Philippines
06-17-25,2025,June,2,63,A0157,LHR,JFK,INT,Boarded,No,No,Thailand,Indonesia
02-21-25,2025,February,5,38,A0418,SIN,BKK,INT,Boarded,No,No,Singapore,Thailand
01-22-26,2026,January,4,107,A0488,BKI,PEN,DOM,NoShow,Yes,No,Malaysia,Malaysia
11-05-25,2025,November,3,208,A0037,HND,SYD,INT,CheckedIn,Yes,No,Japan,Philippines
07-29-25,2025,July,2,198,A0444,SIN,SYD,INT,CheckedIn,No,No,Singapore,Philippines
06-05-25,2025,June,4,235,A0056,SIN,LHR,INT,NoShow,No,No,Singapore,Thailand
06-08-26,2026,June,1,34,A0386,JFK,SIN,INT,Default,No,No,Indonesia,Singapore
07-27-25,2025,July,7,25,A0335,SYD,PEN,INT,NoShow,Yes,No,Philippines,Malaysia
09-08-25,2025,September,1,122,A0288,CGK,KUL,INT,CheckedIn,No,No,Indonesia,Malaysia
12-12-25,2025,December,5,101,A0039,CGK,BKI,INT,Default,No,No,Indonesia,Malaysia
11-13-25,2025,November,4,129,A0461,BKK,KUL,INT,CheckedIn,No,No,Thailand,Malaysia
01-29-26,2026,January,4,83,A0269,PEN,BKI,DOM,Default,No,No,Malaysia,Malaysia
01-11-25,2025,January,6,124,A0420,BKI,SYD,INT,Boarded,No,No,Malaysia,Philippines
10-23-25,2025,October,4,31,A0380,HND,LHR,INT,Boarded,Yes,No,Japan,Thailand
12-20-25,2025,December,6,36,A0442,BKK,SIN,INT,NoShow,No,No,Thailand,Singapore
11-10-25,2025,November,1,88,A0285,HND,BKI,INT,CheckedIn,No,Yes,Japan,Malaysia
02-06-26,2026,February,5,25,A0310,BKK,BKI,INT,Default,No,No,Thailand,Malaysia
04-03-26,2026,April,5,219,A0187,LHR,SYD,INT,Default,No,No,Thailand,Philippines
12-16-25,2025,December,2,69,A0048,JFK,LHR,INT,NoShow,No,No,Indonesia,Thailand
09-03-25,2025,September,3,78,A0144,LHR,JFK,INT,Boarded,Yes,No,Thailand,Indonesia
05-21-25,2025,May,3,93,A0169,SIN,BKI,INT,Default,No,No,Singapore,Malaysia
07-25-25,2025,July,5,213,A0436,JFK,SIN,INT,Default,No,No,Indonesia,Singapore
05-03-25,2025,May,6,14,A0454,HND,LHR,INT,NoShow,No,No,Japan,Thailand
05-14-26,2026,May,4,116,A0086,SYD,CGK,INT,NoShow,Yes,No,Philippines,Indonesia
04-09-25,2025,April,3,225,A0034,HND,PEN,INT,Boarded,No,No,Japan,Malaysia
05-18-26,2026,May,1,25,A0137,KUL,LHR,INT,CheckedIn,No,No,Malaysia,Thailand
05-02-26,2026,May,6,1,A0411,BKK,KUL,INT,Default,No,No,Thailand,Malaysia
02-15-25,2025,February,6,185,A0274,SYD,JFK,INT,NoShow,No,No,Philippines,Indonesia
02-20-25,2025,February,4,49,A0320,BKK,KUL,INT,Boarded,No,No,Thailand,Malaysia
08-11-25,2025,August,1,57,A0109,SIN,SYD,INT,Boarded,Yes,No,Singapore,Philippines
03-28-25,2025,March,5,150,A0166,SIN,BKI,INT,Default,No,No,Singapore,Malaysia
12-13-25,2025,December,6,149,A0150,PEN,SIN,INT,Default,Yes,No,Malaysia,Singapore
03-24-25,2025,March,1,31,A0012,BKI,LHR,INT,Boarded,Yes,No,Malaysia,Thailand
10-25-25,2025,October,6,116,A0494,BKK,SYD,INT,Boarded,No,No,Thailand,Philippines
03-06-25,2025,March,4,126,A0150,PEN,SIN,INT,CheckedIn,No,No,Malaysia,Singapore
06-29-26,2026,June,1,207,A0008,SIN,BKI,INT,Default,No,No,Singapore,Malaysia
03-03-26,2026,March,2,74,A0025,PEN,SIN,INT,Boarded,No,No,Malaysia,Singapore
04-30-26,2026,April,4,37,A0408,JFK,PEN,INT,NoShow,No,No,Indonesia,Malaysia
02-07-25,2025,February,5,191,A0489,HND,KUL,INT,Boarded,No,No,Japan,Malaysia
05-09-26,2026,May,6,140,A0351,PEN,BKI,DOM,Default,Yes,No,Malaysia,Malaysia
04-30-25,2025,April,3,125,A0187,LHR,SYD,INT,Default,No,No,Thailand,Philippines
04-24-26,2026,April,5,110,A0151,JFK,PEN,INT,Boarded,Yes,No,Indonesia,Malaysia
02-24-25,2025,February,1,189,A0205,LHR,BKK,INT,Boarded,No,No,Thailand,Thailand
11-12-25,2025,November,3,200,A0124,SYD,CGK,INT,NoShow,Yes,No,Philippines,Indonesia
07-11-25,2025,July,5,169,A0447,BKK,BKI,INT,Boarded,No,No,Thailand,Malaysia
02-07-26,2026,February,6,26,A0370,BKK,PEN,INT,Boarded,No,No,Thailand,Malaysia
12-20-25,2025,December,6,29,A0109,SIN,SYD,INT,Boarded,No,No,Singapore,Philippines
04-06-25,2025,April,7,128,A0125,PEN,BKI,DOM,NoShow,No,No,Malaysia,Malaysia
01-04-25,2025,January,6,39,A0370,BKK,PEN,INT,CheckedIn,No,No,Thailand,Malaysia
04-30-26,2026,April,4,170,A0068,JFK,KUL,INT,NoShow,No,No,Indonesia,Malaysia
02-12-26,2026,February,4,47,A0167,HND,BKI,INT,Boarded,No,No,Japan,Malaysia
05-03-25,2025,May,6,81,A0138,LHR,KUL,INT,NoShow,No,No,Thailand,Malaysia
06-27-26,2026,June,6,159,A0105,SIN,SYD,INT,Boarded,Yes,No,Singapore,Philippines
01-31-25,2025,January,5,19,A0315,BKI,SYD,INT,Boarded,No,No,Malaysia,Philippines
03-11-25,2025,March,2,59,A0004,HND,JFK,INT,Default,No,Yes,Japan,Indonesia
03-29-26,2026,March,7,192,A0071,BKI,PEN,DOM,Default,No,No,Malaysia,Malaysia
04-05-25,2025,April,6,160,A0323,SYD,CGK,INT,CheckedIn,No,No,Philippines,Indonesia
02-09-26,2026,February,1,149,A0497,JFK,HND,INT,NoShow,No,No,Indonesia,Japan
01-04-26,2026,January,7,85,A0355,LHR,SYD,INT,CheckedIn,No,No,Thailand,Philippines
08-30-25,2025,August,6,187,A0125,PEN,BKI,DOM,NoShow,No,No,Malaysia,Malaysia
06-30-26,2026,June,2,129,A0067,SYD,BKK,INT,Default,Yes,No,Philippines,Thailand
06-19-25,2025,June,4,210,A0076,PEN,HND,INT,CheckedIn,No,No,Malaysia,Japan
06-06-26,2026,June,6,155,A0414,JFK,PEN,INT,CheckedIn,No,No,Indonesia,Malaysia
05-16-25,2025,May,5,57,A0267,CGK,JFK,INT,CheckedIn,Yes,No,Indonesia,Indonesia
04-10-25,2025,April,4,192,A0396,CGK,SIN,INT,Boarded,Yes,No,Indonesia,Singapore
04-14-26,2026,April,2,42,A0446,SIN,SYD,INT,Default,No,No,Singapore,Philippines
09-07-25,2025,September,7,165,A0415,JFK,SIN,INT,Default,No,No,Indonesia,Singapore
01-30-25,2025,January,4,194,A0477,LHR,PEN,INT,Default,Yes,No,Thailand,Malaysia
09-27-25,2025,September,6,13,A0443,BKI,SYD,INT,CheckedIn,No,No,Malaysia,Philippines
05-09-26,2026,May,6,200,A0299,SYD,LHR,INT,NoShow,Yes,No,Philippines,Thailand
04-10-25,2025,April,4,0,A0297,PEN,SYD,INT,Default,No,No,Malaysia,Philippines
11-28-25,2025,November,5,181,A0091,JFK,SYD,INT,Default,Yes,No,Indonesia,Philippines
09-25-25,2025,September,4,34,A0318,HND,BKK,INT,NoShow,Yes,No,Japan,Thailand
06-27-25,2025,June,5,159,A0334,BKK,SIN,INT,NoShow,No,No,Thailand,Singapore
02-25-26,2026,February,3,162,A0254,SYD,BKI,INT,NoShow,Yes,No,Philippines,Malaysia
05-14-26,2026,May,4,193,A0285,HND,BKI,INT,NoShow,No,No,Japan,Malaysia
12-11-25,2025,December,4,66,A0036,PEN,HND,INT,NoShow,Yes,No,Malaysia,Japan
09-24-25,2025,September,3,185,A0108,SIN,KUL,INT,NoShow,Yes,No,Singapore,Malaysia
07-07-25,2025,July,1,92,A0280,CGK,BKK,INT,Boarded,No,No,Indonesia,Thailand
06-15-25,2025,June,7,149,A0382,BKI,KUL,DOM,Boarded,No,No,Malaysia,Malaysia
01-12-26,2026,January,1,98,A0487,PEN,SYD,INT,Default,Yes,No,Malaysia,Philippines
06-03-25,2025,June,2,92,A0283,LHR,KUL,INT,Boarded,No,No,Thailand,Malaysia
02-07-25,2025,February,5,233,A0037,HND,SYD,INT,NoShow,No,No,Japan,Philippines
02-20-26,2026,February,5,176,A0433,BKK,PEN,INT,NoShow,No,No,Thailand,Malaysia
07-19-25,2025,July,6,183,A0052,KUL,CGK,INT,NoShow,No,No,Malaysia,Indonesia
02-25-26,2026,February,3,230,A0185,BKK,JFK,INT,Default,No,No,Thailand,Indonesia
11-03-25,2025,November,1,77,A0254,SYD,BKI,INT,Boarded,Yes,No,Philippines,Malaysia
03-09-26,2026,March,1,195,A0419,LHR,CGK,INT,Boarded,No,No,Thailand,Indonesia
05-23-25,2025,May,5,236,A0140,KUL,LHR,INT,CheckedIn,No,No,Malaysia,Thailand
01-13-26,2026,January,2,152,A0488,BKI,PEN,DOM,CheckedIn,No,No,Malaysia,Malaysia
03-27-26,2026,March,5,88,A0340,CGK,PEN,INT,CheckedIn,Yes,No,Indonesia,Malaysia
04-20-26,2026,April,1,17,A0434,BKK,LHR,INT,NoShow,No,Yes,Thailand,Thailand
06-13-26,2026,June,6,240,A0431,KUL,CGK,INT,CheckedIn,No,No,Malaysia,Indonesia
04-10-26,2026,April,5,123,A0350,HND,CGK,INT,Default,Yes,Yes,Japan,Indonesia
04-03-26,2026,April,5,226,A0398,SYD,HND,INT,Default,No,No,Philippines,Japan
11-24-25,2025,November,1,75,A0081,CGK,BKK,INT,Boarded,No,No,Indonesia,Thailand
04-30-25,2025,April,3,175,A0463,BKI,JFK,INT,Boarded,No,No,Malaysia,Indonesia
08-21-25,2025,August,4,25,A0140,KUL,LHR,INT,CheckedIn,Yes,No,Malaysia,Thailand
04-10-26,2026,April,5,116,A0029,BKI,HND,INT,NoShow,No,No,Malaysia,Japan
03-06-26,2026,March,5,12,A0443,BKI,SYD,INT,CheckedIn,No,No,Malaysia,Philippines
06-28-25,2025,June,6,174,A0045,HND,CGK,INT,Default,No,No,Japan,Indonesia
02-06-26,2026,February,5,223,A0265,BKK,CGK,INT,NoShow,Yes,No,Thailand,Indonesia
07-03-25,2025,July,4,175,A0415,JFK,SIN,INT,Default,No,No,Indonesia,Singapore
12-12-25,2025,December,5,14,A0487,PEN,SYD,INT,Default,No,No,Malaysia,Philippines
07-15-25,2025,July,2,164,A0168,BKK,LHR,INT,Default,No,No,Thailand,Thailand
06-26-26,2026,June,5,216,A0398,SYD,HND,INT,Default,No,No,Philippines,Japan
11-05-25,2025,November,3,201,A0228,JFK,SYD,INT,CheckedIn,No,No,Indonesia,Philippines
12-16-25,2025,December,2,125,A0467,PEN,BKK,INT,Default,Yes,No,Malaysia,Thailand
01-25-25,2025,January,6,227,A0157,LHR,JFK,INT,NoShow,No,No,Thailand,Indonesia
07-24-25,2025,July,4,51,A0059,SIN,HND,INT,CheckedIn,Yes,No,Singapore,Japan
06-04-26,2026,June,4,68,A0302,BKI,PEN,DOM,CheckedIn,No,No,Malaysia,Malaysia
01-04-25,2025,January,6,217,A0145,BKI,HND,INT,Boarded,No,No,Malaysia,Japan
04-02-26,2026,April,4,228,A0055,CGK,HND,INT,Boarded,No,No,Indonesia,Japan
10-02-25,2025,October,4,100,A0142,KUL,BKK,INT,CheckedIn,No,No,Malaysia,Thailand
09-19-25,2025,September,5,114,A0157,LHR,JFK,INT,CheckedIn,No,No,Thailand,Indonesia
12-31-25,2025,December,3,17,A0257,LHR,CGK,INT,NoShow,No,No,Thailand,Indonesia
12-16-25,2025,December,2,128,A0300,LHR,CGK,INT,NoShow,Yes,No,Thailand,Indonesia
04-21-26,2026,April,2,91,A0412,HND,SYD,INT,Default,No,No,Japan,Philippines
11-24-25,2025,November,1,112,A0379,LHR,BKK,INT,Boarded,No,Yes,Thailand,Thailand
06-20-25,2025,June,5,88,A0478,SYD,SIN,INT,CheckedIn,No,No,Philippines,Singapore
03-26-25,2025,March,3,167,A0047,SYD,CGK,INT,NoShow,No,No,Philippines,Indonesia
11-15-25,2025,November,6,108,A0354,CGK,BKK,INT,Default,No,No,Indonesia,Thailand
12-06-25,2025,December,6,148,A0067,SYD,BKK,INT,Boarded,No,No,Philippines,Thailand
11-28-25,2025,November,5,198,A0487,PEN,SYD,INT,NoShow,Yes,No,Malaysia,Philippines
10-11-25,2025,October,6,193,A0085,HND,BKK,INT,Boarded,Yes,No,Japan,Thailand
03-15-26,2026,March,7,38,A0111,SYD,BKK,INT,CheckedIn,No,No,Philippines,Thailand
03-07-25,2025,March,5,129,A0485,PEN,BKI,DOM,Boarded,No,No,Malaysia,Malaysia
01-17-26,2026,January,6,115,A0377,KUL,SYD,INT,NoShow,No,No,Malaysia,Philippines
02-27-25,2025,February,4,74,A0247,BKK,SIN,INT,CheckedIn,Yes,No,Thailand,Singapore
08-09-25,2025,August,6,177,A0145,BKI,HND,INT,NoShow,No,No,Malaysia,Japan
06-07-26,2026,June,7,199,A0126,PEN,CGK,INT,NoShow,No,No,Malaysia,Indonesia
05-18-25,2025,May,7,8,A0269,PEN,BKI,DOM,Boarded,Yes,No,Malaysia,Malaysia
02-05-26,2026,February,4,52,A0398,SYD,HND,INT,Default,Yes,No,Philippines,Japan
01-09-25,2025,January,4,82,A0352,LHR,SYD,INT,Default,No,No,Thailand,Philippines
11-07-25,2025,November,5,232,A0368,CGK,JFK,INT,Default,No,No,Indonesia,Indonesia
04-15-25,2025,April,2,66,A0382,BKI,KUL,DOM,CheckedIn,No,No,Malaysia,Malaysia
06-22-25,2025,June,7,75,A0364,KUL,SIN,INT,CheckedIn,No,No,Malaysia,Singapore
01-07-26,2026,January,3,98,A0289,LHR,CGK,INT,CheckedIn,Yes,No,Thailand,Indonesia
02-05-26,2026,February,4,136,A0417,BKI,SIN,INT,Boarded,No,No,Malaysia,Singapore
09-27-25,2025,September,6,128,A0013,JFK,PEN,INT,NoShow,No,No,Indonesia,Malaysia
04-20-25,2025,April,7,158,A0203,BKI,BKK,INT,Default,Yes,No,Malaysia,Thailand
05-18-25,2025,May,7,167,A0045,HND,CGK,INT,NoShow,No,No,Japan,Indonesia
01-06-26,2026,January,2,20,A0497,JFK,HND,INT,Default,No,No,Indonesia,Japan
02-19-26,2026,February,4,117,A0329,PEN,CGK,INT,NoShow,No,Yes,Malaysia,Indonesia
06-11-26,2026,June,4,64,A0088,BKI,HND,INT,Boarded,No,No,Malaysia,Japan
06-21-25,2025,June,6,87,A0097,SYD,BKI,INT,Default,No,Yes,Philippines,Malaysia
08-12-25,2025,August,2,93,A0294,CGK,HND,INT,NoShow,Yes,No,Indonesia,Japan
08-13-25,2025,August,3,133,A0116,CGK,LHR,INT,NoShow,Yes,No,Indonesia,Thailand
12-01-25,2025,December,1,43,A0224,HND,LHR,INT,Boarded,No,Yes,Japan,Thailand
01-13-25,2025,January,1,50,A0323,SYD,CGK,INT,Boarded,No,No,Philippines,Indonesia
02-08-25,2025,February,6,25,A0356,PEN,KUL,DOM,Default,Yes,No,Malaysia,Malaysia
05-21-25,2025,May,3,75,A0387,JFK,KUL,INT,Default,No,No,Indonesia,Malaysia
02-15-26,2026,February,7,57,A0280,CGK,BKK,INT,NoShow,No,No,Indonesia,Thailand
04-05-25,2025,April,6,152,A0217,SIN,SYD,INT,Boarded,No,No,Singapore,Philippines
06-22-26,2026,June,1,117,A0273,BKK,KUL,INT,NoShow,No,No,Thailand,Malaysia
01-06-26,2026,January,2,114,A0203,BKI,BKK,INT,Boarded,No,Yes,Malaysia,Thailand
08-31-25,2025,August,7,203,A0202,HND,SIN,INT,NoShow,Yes,No,Japan,Singapore
04-26-25,2025,April,6,235,A0202,HND,SIN,INT,Default,No,No,Japan,Singapore
02-17-26,2026,February,2,3,A0176,BKI,LHR,INT,CheckedIn,No,No,Malaysia,Thailand
06-19-25,2025,June,4,169,A0128,LHR,CGK,INT,Default,No,No,Thailand,Indonesia
11-25-25,2025,November,2,119,A0076,PEN,HND,INT,CheckedIn,No,No,Malaysia,Japan
02-13-25,2025,February,4,126,A0430,SIN,HND,INT,Boarded,No,No,Singapore,Japan
05-20-25,2025,May,2,23,A0394,CGK,SYD,INT,Default,No,No,Indonesia,Philippines
11-03-25,2025,November,1,175,A0227,SIN,LHR,INT,Boarded,No,Yes,Singapore,Thailand
02-25-25,2025,February,2,146,A0489,HND,KUL,INT,Default,No,No,Japan,Malaysia
02-05-26,2026,February,4,148,A0107,CGK,PEN,INT,CheckedIn,No,No,Indonesia,Malaysia
04-08-26,2026,April,3,61,A0247,BKK,SIN,INT,Boarded,No,No,Thailand,Singapore
05-20-25,2025,May,2,9,A0415,JFK,SIN,INT,NoShow,No,No,Indonesia,Singapore
01-24-25,2025,January,5,67,A0298,KUL,SYD,INT,CheckedIn,Yes,No,Malaysia,Philippines
06-20-25,2025,June,5,224,A0170,HND,PEN,INT,NoShow,Yes,No,Japan,Malaysia
06-25-26,2026,June,4,7,A0190,BKK,CGK,INT,CheckedIn,No,No,Thailand,Indonesia
05-01-25,2025,May,4,156,A0197,SIN,PEN,INT,CheckedIn,Yes,No,Singapore,Malaysia
02-09-25,2025,February,7,154,A0204,JFK,SIN,INT,Boarded,No,No,Indonesia,Singapore
10-28-25,2025,October,2,194,A0419,LHR,CGK,INT,CheckedIn,No,No,Thailand,Indonesia
01-21-25,2025,January,2,42,A0060,BKI,BKK,INT,CheckedIn,Yes,No,Malaysia,Thailand
08-03-25,2025,August,7,143,A0180,PEN,SIN,INT,Boarded,No,No,Malaysia,Singapore
06-17-26,2026,June,3,4,A0065,SYD,HND,INT,CheckedIn,No,No,Philippines,Japan
08-02-25,2025,August,6,150,A0145,BKI,HND,INT,NoShow,Yes,No,Malaysia,Japan
04-26-26,2026,April,7,207,A0451,JFK,CGK,INT,NoShow,No,No,Indonesia,Indonesia
09-02-25,2025,September,2,166,A0226,JFK,CGK,INT,NoShow,No,No,Indonesia,Indonesia
02-14-25,2025,February,5,118,A0218,KUL,LHR,INT,Boarded,No,No,Malaysia,Thailand
11-08-25,2025,November,6,1,A0500,SIN,BKK,INT,Default,Yes,No,Singapore,Thailand
01-16-26,2026,January,5,18,A0049,CGK,PEN,INT,Boarded,No,No,Indonesia,Malaysia
02-17-26,2026,February,2,109,A0378,CGK,BKI,INT,Boarded,No,No,Indonesia,Malaysia
04-02-26,2026,April,4,32,A0410,PEN,SIN,INT,Boarded,Yes,No,Malaysia,Singapore
12-29-25,2025,December,1,210,A0012,BKI,LHR,INT,Boarded,No,No,Malaysia,Thailand
01-24-25,2025,January,5,215,A0125,PEN,BKI,DOM,Boarded,Yes,No,Malaysia,Malaysia
03-30-25,2025,March,7,184,A0300,LHR,CGK,INT,Default,No,No,Thailand,Indonesia
11-17-25,2025,November,1,152,A0360,SIN,BKI,INT,CheckedIn,No,No,Singapore,Malaysia
01-23-26,2026,January,5,159,A0499,PEN,LHR,INT,Boarded,No,No,Malaysia,Thailand
01-11-26,2026,January,7,68,A0436,JFK,SIN,INT,Default,No,No,Indonesia,Singapore
09-24-25,2025,September,3,121,A0100,KUL,LHR,INT,Boarded,No,No,Malaysia,Thailand
04-25-26,2026,April,6,39,A0178,JFK,HND,INT,Default,No,No,Indonesia,Japan
09-22-25,2025,September,1,63,A0246,JFK,LHR,INT,Default,No,No,Indonesia,Thailand
05-12-25,2025,May,1,205,A0285,HND,BKI,INT,Default,No,No,Japan,Malaysia
07-24-25,2025,July,4,204,A0496,SIN,CGK,INT,Boarded,Yes,No,Singapore,Indonesia
03-15-25,2025,March,6,20,A0172,BKK,JFK,INT,Default,No,No,Thailand,Indonesia
10-30-25,2025,October,4,148,A0479,HND,CGK,INT,Boarded,No,Yes,Japan,Indonesia
01-30-26,2026,January,5,39,A0123,LHR,SYD,INT,Default,No,No,Thailand,Philippines
05-21-26,2026,May,4,96,A0129,HND,BKK,INT,Default,No,No,Japan,Thailand
12-22-25,2025,December,1,98,A0080,BKI,SYD,INT,Default,No,No,Malaysia,Philippines
04-12-26,2026,April,7,116,A0264,PEN,SIN,INT,Boarded,No,No,Malaysia,Singapore
03-27-25,2025,March,4,142,A0461,BKK,KUL,INT,Boarded,Yes,Yes,Thailand,Malaysia
07-28-25,2025,July,1,20,A0364,KUL,SIN,INT,NoShow,No,No,Malaysia,Singapore
10-03-25,2025,October,5,7,A0048,JFK,LHR,INT,Boarded,No,No,Indonesia,Thailand
05-23-26,2026,May,6,3,A0479,HND,CGK,INT,Default,No,No,Japan,Indonesia
04-13-26,2026,April,1,85,A0375,LHR,HND,INT,CheckedIn,No,No,Thailand,Japan
10-12-25,2025,October,7,204,A0470,LHR,BKI,INT,Boarded,No,No,Thailand,Malaysia
04-26-26,2026,April,7,215,A0129,HND,BKK,INT,Default,No,No,Japan,Thailand
02-24-26,2026,February,2,168,A0011,KUL,JFK,INT,Boarded,No,No,Malaysia,Indonesia
04-24-25,2025,April,4,102,A0174,BKI,JFK,INT,Boarded,No,No,Malaysia,Indonesia
05-07-25,2025,May,3,227,A0297,PEN,SYD,INT,Boarded,No,No,Malaysia,Philippines
06-05-26,2026,June,5,209,A0091,JFK,SYD,INT,NoShow,No,No,Indonesia,Philippines
02-19-26,2026,February,4,135,A0244,CGK,JFK,INT,CheckedIn,Yes,No,Indonesia,Indonesia
05-13-25,2025,May,2,233,A0468,JFK,BKI,INT,Default,Yes,No,Indonesia,Malaysia
11-01-25,2025,November,6,25,A0475,KUL,PEN,DOM,Default,No,No,Malaysia,Malaysia
07-26-25,2025,July,6,78,A0179,BKI,BKK,INT,CheckedIn,No,No,Malaysia,Thailand
02-13-26,2026,February,5,100,A0165,LHR,SYD,INT,Default,No,No,Thailand,Philippines
01-03-26,2026,January,6,11,A0362,LHR,BKI,INT,NoShow,No,No,Thailand,Malaysia
01-31-25,2025,January,5,119,A0167,HND,BKI,INT,Default,Yes,No,Japan,Malaysia
09-05-25,2025,September,5,224,A0294,CGK,HND,INT,Default,No,Yes,Indonesia,Japan
01-23-25,2025,January,4,187,A0178,JFK,HND,INT,Default,No,No,Indonesia,Japan
05-26-26,2026,May,2,73,A0450,BKI,PEN,DOM,Boarded,No,No,Malaysia,Malaysia
01-09-26,2026,January,5,97,A0147,SIN,SYD,INT,NoShow,No,No,Singapore,Philippines
04-09-25,2025,April,3,63,A0183,SYD,PEN,INT,Boarded,No,No,Philippines,Malaysia
12-03-25,2025,December,3,142,A0300,LHR,CGK,INT,Default,Yes,Yes,Thailand,Indonesia
05-06-25,2025,May,2,216,A0338,SIN,KUL,INT,CheckedIn,No,No,Singapore,Malaysia
09-15-25,2025,September,1,105,A0178,JFK,HND,INT,Boarded,Yes,No,Indonesia,Japan
08-10-25,2025,August,7,169,A0124,SYD,CGK,INT,CheckedIn,No,No,Philippines,Indonesia
03-01-26,2026,March,7,202,A0042,LHR,KUL,INT,Default,Yes,No,Thailand,Malaysia
02-20-25,2025,February,4,83,A0041,CGK,SYD,INT,NoShow,No,Yes,Indonesia,Philippines
04-17-26,2026,April,5,153,A0393,PEN,SYD,INT,NoShow,No,No,Malaysia,Philippines
01-15-26,2026,January,4,181,A0198,KUL,SIN,INT,Boarded,Yes,No,Malaysia,Singapore
09-30-25,2025,September,2,162,A0015,CGK,LHR,INT,Boarded,No,No,Indonesia,Thailand
01-01-26,2026,January,4,198,A0269,PEN,BKI,DOM,NoShow,No,No,Malaysia,Malaysia
10-21-25,2025,October,2,192,A0243,KUL,BKK,INT,CheckedIn,No,No,Malaysia,Thailand
08-08-25,2025,August,5,76,A0290,LHR,CGK,INT,CheckedIn,No,No,Thailand,Indonesia
06-07-26,2026,June,7,6,A0150,PEN,SIN,INT,CheckedIn,No,No,Malaysia,Singapore
03-05-25,2025,March,3,216,A0145,BKI,HND,INT,CheckedIn,No,No,Malaysia,Japan
06-12-25,2025,June,4,97,A0245,PEN,SIN,INT,Default,No,No,Malaysia,Singapore
01-07-25,2025,January,2,60,A0016,CGK,KUL,INT,Default,No,No,Indonesia,Malaysia
11-09-25,2025,November,7,163,A0290,LHR,CGK,INT,NoShow,No,No,Thailand,Indonesia
04-10-25,2025,April,4,30,A0223,PEN,KUL,DOM,Boarded,No,No,Malaysia,Malaysia
05-18-25,2025,May,7,50,A0261,KUL,JFK,INT,Boarded,No,No,Malaysia,Indonesia
05-28-25,2025,May,3,221,A0044,JFK,LHR,INT,Boarded,No,No,Indonesia,Thailand
11-07-25,2025,November,5,226,A0128,LHR,CGK,INT,Default,No,No,Thailand,Indonesia
04-16-26,2026,April,4,212,A0433,BKK,PEN,INT,CheckedIn,No,No,Thailand,Malaysia
12-24-25,2025,December,3,203,A0266,HND,LHR,INT,Boarded,No,No,Japan,Thailand
07-26-25,2025,July,6,26,A0118,BKK,SYD,INT,Boarded,No,No,Thailand,Philippines
03-01-25,2025,March,6,73,A0046,BKI,PEN,DOM,Default,No,Yes,Malaysia,Malaysia
01-19-26,2026,January,1,119,A0285,HND,BKI,INT,NoShow,No,No,Japan,Malaysia
08-02-25,2025,August,6,204,A0274,SYD,JFK,INT,Default,No,No,Philippines,Indonesia
01-08-26,2026,January,4,136,A0385,BKK,CGK,INT,Default,No,No,Thailand,Indonesia
04-15-25,2025,April,2,227,A0337,JFK,SIN,INT,Default,No,No,Indonesia,Singapore
09-17-25,2025,September,3,31,A0368,CGK,JFK,INT,Default,No,No,Indonesia,Indonesia
05-09-26,2026,May,6,233,A0474,BKK,BKI,INT,NoShow,No,No,Thailand,Malaysia
01-22-25,2025,January,3,97,A0485,PEN,BKI,DOM,Boarded,No,No,Malaysia,Malaysia
11-18-25,2025,November,2,46,A0361,PEN,BKI,DOM,NoShow,Yes,No,Malaysia,Malaysia
09-13-25,2025,September,6,72,A0280,CGK,BKK,INT,Boarded,No,Yes,Indonesia,Thailand
07-28-25,2025,July,1,0,A0357,HND,LHR,INT,Boarded,No,No,Japan,Thailand
09-21-25,2025,September,7,42,A0367,JFK,SYD,INT,CheckedIn,No,No,Indonesia,Philippines
04-25-25,2025,April,5,4,A0284,CGK,BKK,INT,Default,No,No,Indonesia,Thailand
12-13-25,2025,December,6,158,A0297,PEN,SYD,INT,CheckedIn,No,No,Malaysia,Philippines
03-03-26,2026,March,2,93,A0002,HND,SYD,INT,Default,Yes,No,Japan,Philippines
03-19-26,2026,March,4,27,A0363,JFK,HND,INT,Boarded,No,Yes,Indonesia,Japan
07-13-25,2025,July,7,199,A0115,SYD,KUL,INT,Default,No,No,Philippines,Malaysia
02-22-26,2026,February,7,222,A0331,SIN,BKI,INT,CheckedIn,No,No,Singapore,Malaysia
06-27-25,2025,June,5,92,A0274,SYD,JFK,INT,CheckedIn,No,No,Philippines,Indonesia
08-17-25,2025,August,7,108,A0089,SYD,JFK,INT,Boarded,No,No,Philippines,Indonesia
02-06-26,2026,February,5,240,A0414,JFK,PEN,INT,CheckedIn,Yes,No,Indonesia,Malaysia
03-09-26,2026,March,1,42,A0217,SIN,SYD,INT,Default,No,No,Singapore,Philippines
